Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
201977,Marcus,Thornton,LAL@HOU,HOU,LAL,,,"Thornton, Marcus",4000.0,SG,1.15573692785,0.0367319117936,4.45817671367,0.903181396168,0.673229433632,1.75461507143,0.752221196214,0.558805425287,2.42784450506,4.04545615009,1.67611135605,8.86994143884,0.825476739469,17.9285714286,10.5925003957,17.1102583532,5.85741062778e-11,16.2586199843,17.4976802713,16.3802218806,17.0966756623,14.8067639724,15.9632844018,14.9279556018,15.5183926925,15.4270777154,9.0,38.0,8.25836067512,34.4510602315,8.8214376421,37.2598473679,8.32118417208,34.7549123156,8.63303981528,36.3307863666,8.55273708025,36.6222292844,1.0321287048,0.397661082209,10.6518498282,12.895023034,0.8,0.7,0.6,0.2,0.3,0.4,1.45185601192,1.53439586945,1.45226627876,1.57828296983,1.68318063775,-
201978,Chase,Budinger,IND@DET,IND,DET,,,"Budinger, Chase",3600.0,SF,0.940999805454,0.123577316081,1.54482822466,0.875472024386,0.354118547911,1.60096961683,0.420871624591,0.575958339212,1.95508816474,1.41118206836,0.656770610264,3.26888268961,0.653208236766,13.5714285714,4.13234298375,8.92540828784,2.29084321303e-13,8.40288803175,9.11701229237,8.50064781764,8.73127333688,8.54658547936,9.22859817628,8.64795863973,8.84867975362,8.95210825819,11.0,30.0,6.84940137355,18.3279416814,7.42721133293,19.9252351057,6.92747803909,18.5637269752,7.12519556518,18.9923257672,7.29580116492,19.3531482963,0.650730589848,0.185627184106,5.89188303637,7.5102247763,0.6,0.6,0.65,0.2,0.3,0.2,-0.143697447606,-0.111585883908,-0.147310822091,-0.117406416739,-0.0266999703522,-
201980,Danny,Green,SAS@ATL,SAS,ATL,,,"Green, Danny",3600.0,SG,1.7110424185,0.449537539614,4.44397628916,0.67296226638,0.636814786382,2.39331400111,0.77160420301,1.20526404718,3.03012878749,2.54280700388,1.62676050094,7.16108365546,0.560005794315,22.3571428571,7.27238030301,15.9110622486,5.34564911921e-09,14.7121179138,16.2802768741,14.8642646001,15.5254981643,14.0330912243,15.35722198,14.193978085,14.6677177554,14.9082907151,21.0,33.0,13.9210080104,20.9160850507,15.403824467,23.1630132816,14.0648034669,21.1432273329,14.6924177244,22.0586026668,15.0520153175,22.6604670963,0.347788190172,0.672892507675,4.08869065892,5.65270231644,0.8,0.4,0.25,0.2,0.2,0.35,0.67902668947,0.923054894125,0.670286515127,0.857780408905,1.0027715336,-
201988,Patrick,Mills,SAS@ATL,SAS,ATL,,,"Mills, Patty",3700.0,PG,2.7419706463,0.0920007658019,4.29168959749,0.229479920479,0.410806010914,1.56695832504,0.982562498667,1.13003334951,1.97776433596,3.18671363662,1.47774203536,7.48419270846,0.22452444043,21.0714285714,8.07569374903,16.6476107127,1.01262087172e-08,15.5810601011,16.9842202675,15.6803325751,16.3199311187,15.929483925,17.2830041181,16.0304138264,16.7052967867,16.9517293197,17.0,25.0,12.7249479814,18.3369577604,13.8897533365,19.9711066209,12.8005333058,18.4600834653,13.3505853558,19.185089311,13.6487564773,19.5425711956,0.717752319493,-0.110781005374,3.31635167101,7.72635124902,0.4,0.4,0.4,0.2,0.2,0.3,-0.348423823983,-0.298783850594,-0.350081251285,-0.385365667936,-0.304118606943,-
202066,Garrett,Temple,WAS@DAL,WAS,DAL,,,"Temple, Garrett",3500.0,PG,1.39098839748,0.101567474425,2.64300378173,1.50822276625,0.608173491626,1.92835914552,1.04243925308,0.813040687438,2.53653263715,1.65042938847,0.768780376638,4.74044422758,1.05511341205,18.7857142857,5.12475256563,12.146492361,1.12415589673e-10,11.730047094,12.6478584804,11.8569479483,12.1144372823,11.7600595185,12.5727599772,11.8803707809,12.1131070791,12.0287658331,1.0,31.0,0.993721532964,19.2257718773,1.13971480521,20.6852783424,1.01401978959,19.4375330581,1.0178400893,19.8575775237,1.14367076359,19.8390637339,0.323814544418,-0.302440787222,10.5198225587,7.19445855629,0.4,0.4,0.5,0.2,0.1,0.15,-0.0300124245371,0.0750985031569,-0.023422832562,0.00133020318642,0.117726527881,-
202083,Wesley,Matthews,WAS@DAL,DAL,WAS,,,"Matthews, Wesley",5500.0,SG,2.12019092722,0.24141318557,8.5071609991,2.42198340354,0.589209244868,3.0471340392,1.35200149326,1.19327514348,3.63634328407,5.02601551046,3.01121745661,13.1808631513,2.05329235111,35.7857142857,15.1165408286,26.3203694569,2.85361171132e-07,24.6539933745,26.9437486891,24.8415023891,26.1596021028,24.3148720017,26.5192153293,24.5062355047,25.7058528357,25.7820836191,26.0,40.0,17.6610111395,27.6655696655,19.3053277857,30.2386967467,17.7890020548,27.8841196906,18.7452640601,29.3526381942,18.8171161923,29.5589073313,1.35369210983,3.56939677153,5.67576300723,10.8628221362,0.2,0.3,0.55,0.6,0.3,0.2,0.339121372783,0.424533359835,0.335266884423,0.453749267143,0.538285837747,-
202087,Alonzo,Gee,NOP@CHI,NOP,CHI,,,"Gee, Alonzo",3500.0,SF,0.880240202993,0.230151483925,0.775270451817,1.23005750241,0.778852267279,2.25997081836,0.918114638686,0.939379035359,3.03882308564,2.04302534772,0.160338945085,4.25399326838,0.985910240721,22.4285714286,5.23229988125,11.724955077,1.55644229106e-11,11.5564010984,12.2584736108,11.7086146206,11.6365705709,11.6241809495,12.4338538153,11.7837774499,11.7393081611,11.9251586069,10.0,31.0,5.46197585757,15.7594529886,5.72965513117,16.7662601604,5.52898465527,15.9755815051,5.48402864157,15.879702936,5.52111195368,16.0103383857,1.42913257045,2.62546040706,8.55400465694,6.33521901752,1.0,0.8,0.8,0.0,0.1,0.1,-0.0677798511204,-0.175380204528,-0.0751628293891,-0.102737590183,-0.200203529931,-
202322,John,Wall,WAS@DAL,WAS,DAL,,,"Wall, John",9500.0,PG,10.075828385,0.765802899418,4.59879378656,5.88119805964,0.794867667429,3.98989049655,2.18137203303,4.44817256687,4.78475816398,7.69304553654,1.53173040407,17.448045137,4.52209643156,38.1428571429,21.4399179087,46.122291843,0.013479218039,43.741547581,47.8641170318,44.8741655463,44.5074127831,42.7765668437,46.7710958282,43.7707554127,43.479841653,45.0168241603,28.0,40.0,32.0733066541,45.8779860606,34.7415488165,50.2793218931,32.5254494407,47.1476791762,32.6502430242,46.6784438657,33.3651200996,48.467209448,0.278368911095,-0.875376973042,4.52926988755,12.3039966407,0.0,0.2,0.25,0.6,0.5,0.3,0.964980737375,1.09302120361,1.1034101336,1.02757113008,1.10546768266,-
202323,Evan,Turner,BOS@CHA,BOS,CHA,,,"Turner, Evan",5100.0,SF,4.07338256319,0.405020985249,1.59459784156,2.06748411705,0.572508689428,4.00096925586,1.07620351467,1.81564892082,4.57347794529,4.3090827554,0.176958437277,10.2839105246,1.70992513294,28.6428571429,10.505049081,23.017177079,0.000112041886904,23.2500965392,24.5027825032,23.5064788242,23.3385757578,23.9575885222,25.4868083424,24.2502659631,24.0955973818,24.0891957976,21.0,33.0,17.3766462862,26.598512104,18.2907849806,28.0736981827,17.5525410209,26.9302763459,17.4217549443,26.7117165954,17.1627195879,26.3931768584,0.196747434986,-1.37116210897,5.42574743034,8.63240287792,0.2,0.3,0.35,0.4,0.4,0.45,-0.707491983032,-0.984025839169,-0.743787138922,-0.757021624003,-1.07201871859,-
202328,Greg,Monroe,GSW@MIL,MIL,GSW,,,"Monroe, Greg",7700.0,C,2.56661254955,0.660300984235,0.00740675490583,3.34319561757,3.15356203657,6.91168083061,1.2196391899,1.87190231246,10.0652428672,6.91113643239,0.00668176167563,14.4682778756,2.89518765948,31.8571428571,16.7241422859,35.0234363935,0.000176740046275,34.5403305867,36.7620234491,35.822731412,34.5436714675,34.0603399271,36.2111563843,35.3324024992,34.0603399796,34.6387962339,24.0,36.0,26.3626826845,38.8521812988,27.7626238053,41.4875623585,27.0330785997,40.4376765376,26.3660235528,38.8555221862,26.3220684002,39.5847336462,-0.357980056825,1.07323970312,5.48251502638,8.28471177986,0.0,0.2,0.2,0.0,0.0,0.2,0.479990659614,0.550867064815,0.49032891279,0.483331487978,0.384640159628,-
