LCF,Corr,Mean,Std
"Mozgov, Timofey",0.324882419117,0.57647828825,1.06652350277
"Humphries, Kris",0.324760014563,0.14921324564,0.587995852032
"Weems, Sonny",0.323228894994,0.648091961833,0.977513531191
"Jones, Terrence",0.319859368506,0.112598060212,1.14089903392
"Ajinca, Alexis",0.314403971194,0.436857664765,0.839787593802
"Goodwin, Archie",0.312393757453,0.337960297093,1.03707382874
"Jerebko, Jonas",0.310297519841,0.347551086034,0.779201353184
"Sloan, Donald",0.309980184783,0.198795859455,1.41799364575
"Aldrich, Cole",0.308953022419,0.397099773381,1.11574022908
"Stokes, Jarnell",0.305770970832,0.528866803624,0.993080034628
"Aldridge, LaMarcus",0.302381965822,0.163168548882,1.41798842242
"Drummond, Andre",0.302122203462,-0.0131211439957,1.94423369182
"Knight, Brandon",0.299649498155,-0.0107822466593,1.83493643067
"Varejao, Anderson",0.298826010038,0.240896933402,0.938940128086
"Brooks, Aaron",0.298792102157,0.0672978702525,0.73715841776
"Lillard, Damian",0.296094782033,-0.407553625653,1.955931945
"Parsons, Chandler",0.293076105697,0.493650710098,0.777901320248
"Morrow, Anthony",0.289245695647,0.422895893716,0.716845791753
"Koufos, Kosta",0.28423543845,0.398164825471,1.08107030733
"Cunningham, Dante",0.279932699058,0.422962270349,1.2987072671
"George, Paul",0.278339306712,0.241362315019,1.77719021597
"Mbah a Moute, Luc",0.278285339952,0.623026591271,1.68235104021
"Okafor, Jahlil",0.277476664588,0.539969871711,1.32602332391
"Brown, Markel",0.273728008669,0.253512447347,1.19650191569
"Mudiay, Emmanuel",0.270171319568,-0.54855742265,1.30065827178
"Harden, James",0.269282979541,0.284414740265,3.35482463834
"Williams, Marvin",0.269017525192,0.0838383257368,0.984211371137
"Bullock, Reggie",0.265918925911,0.328223471355,0.586530735697
"Burke, Trey",0.26111253977,0.225058838155,0.899835241113
"Harris, Devin",0.258947474389,0.195292989647,0.86109040911
"Jefferson, Richard",0.257794845598,0.432453431404,0.823818141396
"Butler, Caron",0.257720447135,0.0581992782504,0.18914854505
"Blake, Steve",0.257623711967,0.036003313238,0.837806000573
"Tavares, Walter",0.25727563796,1.23962146072,0.779419793548
"Carter, Vince",0.25673709135,0.55649038316,1.01486465948
"Henderson, Gerald",0.256716403417,0.364510616951,0.856519393013
"Thompson, Hollis",0.255880524289,0.260401138065,0.641349382693
"McDaniels, KJ",0.254614142682,0.652041415441,1.26959948391
"Lauvergne, Joffrey",0.254223079395,0.281842572904,0.947674642844
"Snell, Tony",0.25106664477,0.192115152532,0.888393483942
"Bledsoe, Eric",0.25071757866,-0.312226480982,1.93257814742
"Marshall, Kendall",0.248093690521,-0.0458129123975,0.58006770077
"Young, Joe",0.248074964652,2.47439335218,3.19900744507
"Baynes, Aron",0.246890889931,0.636666374794,0.993603941354
"Price, Ronnie",0.245990051574,0.0784133468946,0.866481505058
"Ellis, Monta",0.245966097396,0.502785257068,1.31387608199
"Allen, Lavoy",0.245758043851,0.378399348725,0.986711918292
"Daniels, Troy",0.243971905011,0.325304540219,1.58904379756
"Miles, CJ",0.243844939943,0.41428990205,0.992871351471
"Vonleh, Noah",0.24325075074,0.286550147655,0.736570054511
"Griffin, Blake",0.239400492606,-1.07817761958,2.01285893417
"Butler, Rasual",0.236651797302,0.590559567726,1.19831999474
"Rivers, Austin",0.233967074551,-0.0702641906851,0.776570579113
"Jack, Jarrett",0.22757130585,-0.145021676016,1.18167264358
"Alexander, Cliff",0.226449910347,0.125122638012,0.171074253014
"Ezeli, Festus",0.22633721543,0.217493401134,1.18613714703
"Hood, Rodney",0.226230740336,0.554004395059,0.906678633432
"McCallum, Ray",0.224699539422,0.530818151898,0.862565300111
"Booker, Devin",0.22443465781,0.294619315314,0.917034866813
"Hollins, Ryan",0.223173399227,2.3436787094,2.44747919201
"Covington, Robert",0.222951585257,0.0795965936458,1.06630395599
"Curry, Stephen",0.220304671888,-1.05945394011,2.5867260758
"Williams, Lou",0.21975671823,0.403855246933,1.59072514736
"Wroten, Tony",0.21826400851,0.0630981695123,0.612806800479
"Dellavedova, Matthew",0.217460499152,0.283150667674,1.02607846364
"Frye, Channing",0.217198768187,0.192923287808,0.617949392962
"Valanciunas, Jonas",0.216141615025,0.448264293244,1.3876432993
"Burks, Alec",0.214723796625,0.346270049021,1.11295440325
"Whiteside, Hassan",0.213178463354,0.061889473025,2.51986392334
"Ginobili, Manu",0.2129516064,0.515028979037,0.812098679055
"Cauley-Stein, Willie",0.212055395226,0.218804976377,0.978875178304
"Wall, John",0.211777135778,-0.394373218072,1.9704543181
"Johnson, Amir",0.210587347109,0.259554153221,1.03750026664
"Gortat, Marcin",0.209251807459,0.355730820287,1.18235618307
"Stauskas, Nik",0.208213351262,0.284609670113,0.60898541338
"Redick, JJ",0.205934186079,0.879540321748,1.16827176829
"Ibaka, Serge",0.203904132215,0.305041445525,1.74025248383
"Oubre, Kelly",0.203791524878,0.93880107883,3.9527123306
"Grant, Jerami",0.20320727802,-0.107318794132,1.09365362079
"Lyles, Trey",0.202563990195,0.297496318144,1.13178132267
"Bryant, Kobe",0.202368110226,0.779929619706,1.12146492657
"Prince, Tayshaun",0.197291310898,0.306389934529,0.845488053945
"Haslem, Udonis",0.195254811568,0.481337136867,1.46342214499
"Leonard, Kawhi",0.193170368054,0.217336816504,1.48679140412
"Livingston, Shaun",0.192552678437,0.179729048886,0.860856327175
"Oladipo, Victor",0.191917582415,0.314412226196,1.07238283256
"Smith, Jason",0.190161782888,0.350090538135,0.651228234748
"Noah, Joakim",0.189269216387,0.240714672663,1.13313770469
"Speights, Marreese",0.186237623378,0.611034217557,0.967597577642
"Porzingis, Kristaps",0.185241640053,0.30106340172,1.47475324143
"Muscala, Mike",0.183660980716,0.234744478159,0.775410082664
"Patterson, Patrick",0.182443785931,0.239537598897,0.631666141888
"Temple, Garrett",0.181359418675,0.0746494047349,0.764432366522
"Cole, Norris",0.180904512654,0.151080058202,0.855819459778
"Jenkins, John",0.17746277528,-0.022925241176,0.869189250574
"McConnell, TJ",0.176489616063,0.178559955892,1.09309492843
"Barea, Jose Juan",0.173604831266,0.330020393679,1.05150890206
"LaVine, Zach",0.172112942306,0.431565367513,0.952375087075
"Duncan, Tim",0.172017887284,0.0216490521352,1.35170429455
"Dieng, Gorgui",0.171932916749,0.324176861361,1.06568864588
"Winslow, Justise",0.171250232557,0.181425914623,0.624612918716
"Warren, TJ",0.170995080504,0.148085389247,0.994466355339
"Payton, Elfrid",0.170388557604,0.0524579237557,1.33015276661
"Asik, Omer",0.16994256686,0.35495478898,1.07459381668
"Belinelli, Marco",0.169244460202,0.373831354706,0.704911641948
"Antetokounmpo, Giannis",0.167905223763,0.0319387882535,1.30098101741
"Bennett, Anthony",0.167318751496,0.447979495445,0.684258127302
"Singler, Kyle",0.16671776987,0.464041414116,1.64330036939
"Westbrook, Russell",0.166250682636,-0.0393513113428,2.72938995009
"Barnes, Matt",0.162543870467,0.066752562381,0.928066929711
"Gay, Rudy",0.162068782154,0.707556266216,1.34508096347
"Vasquez, Greivis",0.161975507429,0.662219568277,0.61985220737
"Conley, Mike",0.1603665905,-0.0394510672509,1.2631974366
"Gobert, Rudy",0.159504243872,0.0377580626037,2.07105254661
"Smith, J.R.",0.156767524924,0.397579896311,0.765261196885
"Wade, Dwyane",0.153644975688,0.818709664349,1.51160415204
"James, LeBron",0.15234818406,0.139799625616,1.88625488458
"Barbosa, Leandro",0.151819844165,0.421986871367,0.819442657653
"O'Bryant, Johnny",0.150300169221,0.427687336419,0.771176291773
"Moore, E'Twaun",0.149669577184,0.254374144354,0.95155930866
"Butler, Jimmy",0.149569139075,0.177699783149,1.82589280016
"Tucker, PJ",0.145832961891,-0.0626465422561,0.77127612364
"Bogdanovic, Bojan",0.145831097433,0.281507601313,0.699974955842
"Splitter, Tiago",0.144091258457,0.497306153476,1.02891239209
"Roberson, Andre",0.141816705125,0.241074741958,0.743182881341
"Gallinari, Danilo",0.140801688787,0.285343621411,1.30345426835
"Hezonja, Mario",0.134315259424,0.312768165301,0.882439418709
"Novak, Steve",0.133883549168,0.0733913426581,0.438625280071
"Rudez, Damjan",0.133574237452,0.682266293446,1.29785987666
"Hill, George",0.132343119168,-0.332898968196,1.21916788153
"Towns, Karl-Anthony",0.130716043134,0.0281892698882,1.79293054352
"Crowder, Jae",0.129405548663,-0.217675295998,1.04404937081
"Green, Draymond",0.124117764136,-0.562002780624,1.93747270459
"Parker, Jabari",0.12288548169,0.301378967258,0.679856477492
"Lowry, Kyle",0.116671222015,-0.44183552084,1.49717711249
"Harrell, Montrezl",0.114429950651,0.464067818717,1.20498262359
"Chandler, Tyson",0.113018779754,0.212573974717,1.05684041466
"Karasev, Sergey",0.112964794236,0.718706745306,1.27489207106
"Crawford, Jamal",0.110858381682,0.580371738313,0.972366285554
"Scott, Mike",0.109563515142,0.461848524637,0.755061548949
"Harkless, Maurice",0.108441584899,0.0856718456473,0.813283510668
"Henson, John",0.108110028127,0.502363383295,1.26649647641
"Porter, Otto",0.108022169833,-0.0179710456159,0.831076320699
"Moreland, Eric",0.106899537103,2.25081349883,0.61541058427
"Frazier, Tim",0.106736254117,1.41418476394,3.17415395325
Nene,0.105790798941,0.325252503585,0.799914422448
"Kaminsky, Frank",0.105281114376,-0.0630722951137,1.07897461798
"Neal, Gary",0.102046302097,-0.0823231201569,0.588612084946
"Larkin, Shane",0.100462060035,-0.0287000892608,0.558986452683
"Jennings, Brandon",0.0999988312482,0.438995702098,0.748937200645
"Teletovic, Mirza",0.0995466689808,0.178580264667,0.932477264366
"Gee, Alonzo",0.0975388670855,0.392718648497,1.20074047649
"Dudley, Jared",0.0972008905251,0.134965900654,0.642412851935
"Nogueira, Lucas",0.0961060788759,0.330026477863,1.35932404418
"Johnson, James",0.0953875161041,0.449059548815,0.963826137238
"Jordan, DeAndre",0.0945080293463,-0.234757550537,2.09179742939
"Kanter, Enes",0.0937283221982,0.804712446543,1.15207364826
"Lee, Courtney",0.0910409311793,0.309003341918,0.683233508989
"Howard, Dwight",0.0908505249757,0.382872784684,1.89270770385
"Sefolosha, Thabo",0.0893954421414,0.112371792805,0.902033410862
"Mayo, O.J.",0.089163049264,0.309486675074,0.837188446215
"Booker, Trevor",0.0881805327615,0.0518424804014,1.03083009604
"Lopez, Robin",0.0875997984466,0.48193603225,1.13092950259
"Williams, Mo",0.0847804883279,0.347860250515,1.06460223532
"Smith, Ish",0.0828609145981,0.177481980227,1.30753737432
"Matthews, Wesley",0.0828427266817,0.481700023938,1.09860772797
"Papanikolaou, Kostas",0.0826820830428,0.614461603035,1.4596296105
"Hill, Solomon",0.0813321904306,0.56143551111,1.25118550044
"Bargnani, Andrea",0.0796550432909,0.486111518734,1.0201504127
"Middleton, Khris",0.0786122167992,0.319186393512,1.14324396327
"Simmons, Jonathon",0.0785729441912,1.01464124895,1.14067277222
"Chalmers, Mario",0.0784136084781,-0.0312826083795,0.928969922673
"Dragic, Goran",0.0748608121926,0.205558183258,0.901273590034
"Vucevic, Nikola",0.0744497207508,0.458004102488,2.02137786839
"Rubio, Ricky",0.0738333384115,0.178479487534,1.52434041228
"Dedmon, Dewayne",0.0715095131708,0.324069638882,1.09545614787
"Young, Thaddeus",0.0715032726005,-0.0594151136279,1.04824048593
"Garnett, Kevin",0.07103738824,0.0869479315668,0.773407616378
"Aminu, Al-Farouq",0.0705045141788,-0.100262161341,1.2263288116
"Robinson, Glenn",0.0693559619858,0.71745514697,1.68765637362
"Lamb, Jeremy",0.0689899565568,0.290092726469,0.770557499308
"Leuer, Jon",0.0653213370898,0.100570308604,0.997823446869
"Clarkson, Jordan",0.0651049375182,-0.00329556844446,1.13534148942
"Gasol, Marc",0.0642923503946,0.250572969348,1.46427914303
"Anderson, Kyle",0.0623064520362,0.730952109314,1.33177904834
"Walker, Kemba",0.0613015060736,-0.438040531244,1.26938932683
"Tolliver, Anthony",0.0600396793706,0.225215593798,0.86248063712
"Noel, Nerlens",0.0574801460741,0.039562713941,0.919889710091
"Harris, Gary",0.0571391864779,0.202380828426,0.704985827012
"Reed, Willie",0.0565305765682,0.753041773642,1.12444214152
"Fournier, Evan",0.0540160380952,0.582045254145,0.937498126632
"Turner, Evan",0.0537946194354,0.393570173937,1.10618356648
"McGee, JaVale",0.051920755421,0.755140891483,0.950394422421
"Roberts, Brian",0.0510567578027,0.519543136403,1.15090457186
"Carter-Williams, Michael",0.0494512768395,0.167347747559,1.129847383
"Korver, Kyle",0.0471445363622,0.386644675384,0.823003715724
"Diaw, Boris",0.0451058666141,0.333626233934,0.782235932839
"Morris, Marcus",0.0423529813887,-0.0482394457016,1.17592498321
"Bjelica, Nemanja",0.0404467144829,0.321302481396,1.42473666283
"Turner, Myles",0.0401093389676,0.996315194044,1.32681175719
"Amundson, Lou",0.0398140008894,0.248703818058,0.696007384465
"Johnson, Tyler",0.0396818416912,0.350001675815,0.656386920154
"Randolph, Zach",0.0394169634802,0.0905212577133,1.1663486057
"Hairston, PJ",0.0393677187894,0.334562478889,0.800597648097
