Player ID,First Name,Last Name,Position,Dppg,Team,Jersey Number
8e3cbaa3-e30a-4cf8-aa7a-1b57f15f0f98,Bismack,Biyombo,c,17.52,TOR,8
8f6cd02e-f153-4fd6-ae64-5de2e3d677af,Jordan,McRae,sg,7.33,CLE,12
8f7caaba-426f-4bee-be51-9625718d51f3,Emmanuel,Mudiay,pg,27.95,DEN,0
91e382f9-aa33-4ad2-9703-f17782058698,Austin,Daye,sf,7.45,CLE,15
9484b30a-4e6e-4307-8b42-12fa141dee17,Quinn,Cook,pg,5,CLE,3
95ca0a9b-4fd0-4ae8-8714-247b57fb84ea,Manu,Ginobili,sg,17.8,SAS,20
98ec8372-22fd-4ab4-88f2-94b47df7cb58,Nick,Johnson,sg,5,DEN,13
9c8dc8ee-6207-48d5-81ee-f362f5e17f9b,Taj,Gibson,pf,21.08,CHI,22
9cf99a61-6b51-4aed-8940-0480dc512b36,Jeff,Teague,pg,30.38,ATL,0
9e917c97-5227-4581-9ab5-2dd07a7187ef,Patty,Mills,pg,18.88,SAS,8
9f4fea8a-52e6-4243-8a66-3857663b7c38,Tarik,Black,c,9.93,LAL,28
a18805c2-d746-4d4b-be83-5b96c3bdf6af,D.J.,Augustin,pg,20.02,DEN,12
a2a15cb3-9a7d-4e24-b3ce-62cb4e1c3c68,Lorenzo,Brown,pg,9.25,PHX,41
a2c6a907-282f-4172-9d60-42d03987da0e,Dennis,Schroder,pg,24.98,ATL,17
a6f5375d-b7be-4ca7-bb96-60e99538eb5e,Kyle,Casey,sf,5,PHX,32
a764ea7a-2209-4ff3-af9c-f97d9ac00333,Kostas,Papanikolaou,sf,8.6,DEN,16
a8b48aa9-cf98-4a87-8bba-e88eead8cdaa,Jusuf,Nurkic,c,16.4,DEN,23
a90a5752-ae6b-491a-8ff6-43acd5b12aa9,Ray,McCallum,pg,5,SAS,3
ad0aa3eb-81c3-4688-b769-e0375cdb5c13,Thabo,Sefolosha,sf,13.93,ATL,25
ad389979-d1d5-4f26-ad64-3e516b3373a3,Larry,Nance,pf,12.88,LAL,7
b1b2d578-44df-4e05-9884-31dd89e82cf0,Tony,Parker,pg,23.38,SAS,9
b1d48323-0ef7-478e-a10c-cbd9f2e3f1df,Reggie,Williams,sf,5,SAS,55
b634fb27-1562-4d4a-b340-066c46e62d25,Anthony,Bennett,pf,5,TOR,15
b6eee153-eac4-41e5-afcb-ab46cf7a8ba8,Joakim,Noah,c,25.83,CHI,13
b7d0fa52-b5ca-4465-9bbb-3ec9b6b7b536,Terrence,Ross,sf,15.9,TOR,31
b838cbad-0877-4189-ba3d-039962da7ebd,Aaron,Brooks,pg,14.05,CHI,0
b9c5cdbd-98e7-4921-8e49-6c192326d8eb,Marcus,Simmons,sg,5,CHI,7
ba1b12c1-ee81-47d2-9f02-56110ff2a318,Kyle,Korver,sg,19.58,ATL,26
c12fb587-fc86-471c-8a84-19caf31325ce,Kawhi,Leonard,sf,43.65,SAS,2
c25afa99-b041-46db-9725-8d92492df50b,Darrell,Arthur,pf,14.7,DEN,00
c8788ad2-89f7-4ec9-a22b-dcaf6190889b,Jonas,Valanciunas,c,27.25,TOR,17
ca6e9e9a-3d47-422d-bc1e-2dcf6deba5ca,Nikola,Mirotic,pf,18.8,CHI,44
cf3a87ec-c2f7-42e8-9698-6f8b2ba916a9,Al,Horford,c,35.67,ATL,15
d214d3a9-9aaa-4296-bcf0-60a1769d7a70,Brandon,Bass,pf,17.93,LAL,2
d323405a-4655-4261-b0fa-9524523143a1,Nick,Young,sf,10.18,LAL,0
d386c6c9-7bd1-4a56-a0ca-3476c7b57fd6,Devin,Sweetney,sg,5,DEN,34
d5381ecd-6a70-401e-a019-817f51ac5aa2,Andre,Miller,pg,6.68,SAS,24
d98a598a-5ef5-4194-9fb2-c400370151be,Cameron,Bairstow,pf,6.03,CHI,41
da7d17aa-f245-4710-820c-99d29a7458b4,P.J.,Tucker,sf,21.88,PHX,17
db90c8f4-5d2a-4ff9-8f57-1fc44a253dcf,Wilson,Chandler,sf,27.95,DEN,21
dbf09e15-1cd8-434e-acda-9527735ef4d6,D'Angelo,Russell,pg,28.6,LAL,1
dd146010-902b-4ad7-b98c-650d0363a2f0,Kyrie,Irving,pg,33.75,CLE,2
de5248cb-94fc-4f42-ac17-b956ca6d130e,Sasha,Kaun,c,5,CLE,14
e0164a67-c5c3-4f3c-ac16-1700b1f72821,Anthony,Brown,sf,10.93,LAL,3
e1e4c26d-ab5c-4bd7-886a-812854466bb8,Norman,Powell,sg,7.65,TOR,24
e3c8bfbe-086f-4bbf-be9b-38accc5d5037,Mike,Scott,pf,11.5,ATL,32
e43acd9a-43b7-4676-9e97-2ba1d34ef2de,Mo,Williams,pg,5,CLE,52
e5b54fa6-88e0-4702-9677-282f204a43e1,Phil,Pressey,pg,11.3,PHX,25
e6f41213-ce71-4e55-a6ae-b7aa300a7ade,Jonathan,Holmes,sf,5,LAL,10
e77345ce-8cb5-4727-a875-5332900b0309,DeQuan,Jones,sf,5,ATL,18
e7e7dc21-c48f-4c33-a9df-7b0027cc21d4,Michale,Kyser,sf,5,TOR,12
ee82d0ca-c0d2-499b-92ca-af4f085e2452,Chris,Johnson,c,5,CLE,21
ee9ddf70-f50d-49b0-846c-f83719b095d8,Jon,Leuer,pf,12.88,PHX,30
ef58422e-c7df-4432-8497-0cbb31e90c32,Matthew,Dellavedova,pg,14.73,CLE,8
f05628db-779b-41e8-9527-cf3b204b5bac,Joffrey,Lauvergne,c,14.95,DEN,77
f2625432-3903-4f90-9b0b-2e4f63856bb0,Nikola,Jokic,c,29.43,DEN,15
f3fd7679-312f-42a1-b78d-326da1492c03,Axel,Toupane,sg,5,DEN,6
f4c21698-8e9b-4720-ac1e-5e07bd7c2e92,John,Jenkins,sg,5.03,PHX,23
f58a9803-0ede-4c0b-acbd-08bc0da229af,Brandon,Knight,pg,30.05,PHX,3
f92a3b51-687c-4931-8744-9d9fc1e2ac31,D.J.,Stephens,sg,5,CLE,30
fd1d76ee-9ec0-460c-b12b-29e584923cb6,Kobe,Bryant,sg,30.23,LAL,24
