Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Delon Wright,3000,Tor@Min 08:00PM ET,2.250,Tor
PF,Jarell Martin,3000,Mem@Bkn 07:30PM ET,1.000,Mem
PF,Jordan Mickey,3000,LAC@Bos 07:30PM ET,4.750,Bos
PG,Terry Rozier,3000,LAC@Bos 07:30PM ET,3.681,Bos
SG,James Young,3000,LAC@Bos 07:30PM ET,3.850,Bos
PG,Aaron Harrison,3000,Cha@Ind 07:00PM ET,1.885,Cha
C,Joel Embiid,3000,Sac@Phi 07:00PM ET,0,Phi
PG,Danté Exum,3000,Uta@NO 08:00PM ET,0,Uta
SF,Bruno Caboclo,3000,Tor@Min 08:00PM ET,0.917,Tor
C,Walter Tavares,3000,Atl@Chi 08:00PM ET,6.250,Atl
SF,Damjan Rudez,3000,Tor@Min 08:00PM ET,3.964,Min
C,Cristiano Felicio,3000,Atl@Chi 08:00PM ET,1.458,Chi
PG,Tyus Jones,3000,Tor@Min 08:00PM ET,8.800,Min
PF,Cliff Alexander,3000,Hou@Por 10:30PM ET,3.286,Por
PF,Kevon Looney,3000,GS@Pho 09:00PM ET,4.500,GS
PF,Chris McCullough,3000,Mem@Bkn 07:30PM ET,8.000,Bkn
SF,Luis Montero,3000,Hou@Por 10:30PM ET,2.357,Por
