Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
14786-9751,PG,Toney,Douglas,11.885714285714286,35,3600,OKC@NO,NO,OKC,,,,
14786-15843,PG,Trey,Burke,17.832075471698115,53,3600,SA@UTA,UTA,SA,,,,
14786-12344,PG,Greivis,Vasquez,15.55625,16,3600,MIL@BOS,MIL,BOS,O,Ankle,,
14786-15834,PG,Shane,Larkin,16.01132075471698,53,3600,BKN@PHO,BKN,PHO,,,,
14786-15925,PG,Phil (Flip),Pressey,12.325,16,3600,BKN@PHO,PHO,BKN,,,,
14786-9956,SG,Wayne,Ellington,12.042857142857143,56,3600,BKN@PHO,BKN,PHO,,,,
14786-23716,SF,Kyle,Anderson,10.366037735849057,53,3600,SA@UTA,SA,UTA,,,,
14786-9471,PF,Boris,Diaw,14.482456140350877,57,3600,SA@UTA,SA,UTA,,,,
14786-59483,PF,Chris,McCullough,4.7,4,3500,BKN@PHO,BKN,PHO,,,,
14786-9496,PG,Jason,Terry,9.912765957446808,47,3500,HOU@POR,HOU,POR,,,,
14786-9490,C,Anderson,Varejao,7.540625,32,3500,GS@ORL,GS,ORL,,,,
14786-59318,SF,Joe,Ingles,7.8127272727272725,55,3500,SA@UTA,UTA,SA,,,,
14786-16026,SG,Markel,Brown,7.294736842105263,38,3500,BKN@PHO,BKN,PHO,,,,
14786-15548,SG,Andre,Roberson,12.48695652173913,46,3500,OKC@NO,OKC,NO,,,,
14786-15792,C,Johnny,O'Bryant,7.89375,48,3500,MIL@BOS,MIL,BOS,,,,
14786-63123,SF,Mario,Hezonja,8.721153846153847,52,3500,GS@ORL,ORL,GS,,,,
14786-48567,PG,Cameron,Payne,11.225,40,3500,OKC@NO,OKC,NO,,,,
14786-15532,SF,K.J.,McDaniels,3.211111111111111,18,3500,HOU@POR,HOU,POR,,,,
14786-9529,SG,Anthony,Morrow,7.9079999999999995,50,3500,OKC@NO,OKC,NO,,,,
14786-12353,C,Tibor,Pleiss,3.5833333333333335,12,3500,SA@UTA,UTA,SA,,,,
14786-41063,PF,Jordan,Mickey,3.8833333333333333,6,3500,MIL@BOS,BOS,MIL,,,,
14786-16301,C,Dewayne,Dedmon,8.842424242424244,33,3500,GS@ORL,ORL,GS,,,,
14786-9733,SG,Randy,Foye,11.748214285714285,56,3500,OKC@NO,OKC,NO,,,,
14786-16059,SG,Jared,Cunningham,4.4325,40,3500,GS@ORL,ORL,GS,,,,
14786-9525,PG,C.J.,Watson,11.036363636363637,11,3500,GS@ORL,ORL,GS,,,,
14786-63826,C,Boban,Marjanovic,10.802702702702703,37,3500,SA@UTA,SA,UTA,,,,
14786-14532,SF,Kyle,Singler,6.432608695652173,46,3500,OKC@NO,OKC,NO,,,,
14786-14530,SF,Bojan,Bogdanovic,14.452631578947368,57,3500,BKN@PHO,BKN,PHO,,,,
14786-18352,PG,Ray,McCallum,5.524137931034482,29,3500,SA@UTA,SA,UTA,,,,
14786-34615,PF,Willie,Reed,8.539285714285715,28,3500,BKN@PHO,BKN,PHO,,,,
14786-22647,SF,J.J.,O'Brien,1.6,2,3500,SA@UTA,UTA,SA,,,,
14786-9563,C,Chris,Kaman,3.966666666666667,9,3500,HOU@POR,POR,HOU,,,,
14786-9549,SG,Brandon,Rush,10.104255319148935,47,3500,GS@ORL,GS,ORL,,,,
14786-16071,PG,Tim,Frazier,4.451428571428572,35,3500,HOU@POR,POR,HOU,,,,
14786-58576,PF,Kevon,Looney,4.75,4,3500,GS@ORL,GS,ORL,,,,
14786-12349,SF,Luke,Babbitt,7.167999999999999,25,3500,OKC@NO,NO,OKC,,,,
14786-9804,C,Alexis,Ajinca,11.070454545454545,44,3500,OKC@NO,NO,OKC,,,,
14786-16363,SG,Joe,Harris,1.72,5,3500,GS@ORL,ORL,GS,O,Foot,,
14786-63477,SF,Luis,Montero,2.1285714285714286,7,3500,HOU@POR,POR,HOU,,,,
14786-16100,PG,Bryce,Cotton,3.1666666666666665,3,3500,BKN@PHO,PHO,BKN,,,,
14786-16378,SG,Erick,Green,2.966666666666667,9,3500,SA@UTA,UTA,SA,,,,
14786-15560,PG,Shabazz,Napier,8.475,44,3500,GS@ORL,ORL,GS,,,,
14786-16629,SG,Bryce,Jones,12.292857142857143,14,3500,OKC@NO,NO,OKC,GTD,Wrist,,
14786-42671,SF,James,Young,3.3227272727272723,22,3500,MIL@BOS,BOS,MIL,,,,
14786-9895,SF,Steve,Novak,2.6,8,3500,MIL@BOS,MIL,BOS,,,,
