Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
23220,SF,Chris,Copeland,5.5,8,3500,CLE@MIL,MIL,CLE,,,,
23744,SF,Justin,Anderson,7.1,7,3500,DAL@HOU,DAL,HOU,,,,
9643,PG,Shaun,Livingston,10.8,10,3500,BKN@GS,GS,BKN,,,,
9685,SF,Martell,Webster,5.6,32,3500,ORL@WAS,WAS,ORL,O,Hip,,
9683,PG,Steve,Blake,9.5,8,3500,DET@LAC,DET,LAC,,,,
55061,SF,Damien,Inglis,4.3,5,3500,CLE@MIL,MIL,CLE,,,,
15955,PF,James Michael,McAdoo,4.2,9,3500,BKN@GS,GS,BKN,,,,
15475,PF,Cory,Jefferson,8.5,50,3500,DEN@PHO,PHO,DEN,,,,
9669,PF,Jason,Smith,10.3,6,3500,ORL@WAS,ORL,WAS,O,Knee,,
15947,SF,Reggie,Bullock,0.4,4,3500,DET@LAC,DET,LAC,,,,
9671,PF,Marreese,Speights,11.1,9,3500,BKN@GS,GS,BKN,,,,
23716,SF,Kyle,Anderson,5,8,3500,PHI@SA,SA,PHI,,,,
12474,PG,Patrick,Beverley,12.2,6,3500,DAL@HOU,HOU,DAL,GTD,Ankle,,
42202,PF,Christian,Wood,5.8,7,3500,PHI@SA,PHI,SA,,,,
9677,SF,Jared,Dudley,11.2,6,3500,ORL@WAS,WAS,ORL,,,,
58460,SG,Devin,Booker,5.9,5,3500,DEN@PHO,PHO,DEN,,,,
40202,SF,Sergey,Karasev,1.4,3,3500,BKN@GS,BKN,GS,,,,
42689,PG,Tyler,Ennis,8.6,5,3500,CLE@MIL,MIL,CLE,,,,
9723,PG,Ronnie,Price,8.3,8,3500,DEN@PHO,PHO,DEN,GTD,Concussion,,
23282,SF,Sam,Dekker,1.1,3,3500,DAL@HOU,HOU,DAL,,,,
9720,C,Andrea,Bargnani,8.4,8,3500,BKN@GS,BKN,GS,,,,
66520,C,Sasha,Kaun,2.9,2,3500,CLE@MIL,CLE,MIL,,,,
17218,PF,Andrew,Nicholson,0.2,1,3500,ORL@WAS,ORL,WAS,,,,
12445,SG,Gary,Neal,11,7,3500,ORL@WAS,WAS,ORL,,,,
9709,C,Matt,Bonner,1.2,1,3500,PHI@SA,SA,PHI,,,,
9706,SF,Richard,Jefferson,12.8,8,3500,CLE@MIL,CLE,MIL,GTD,Ankle,,
9700,C,Spencer,Hawes,11.7,9,3500,POR@CHA,CHA,POR,,,,
