Player_ID,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_FD_std,PROJ_DK_std,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_FLOOR_MIN,PROJ_FLOOR_FD,PROJ_FLOOR_DK,PROJ_CEIL_MIN,PROJ_CEIL_FD,PROJ_CEIL_DK,PROJ_HIST_FD_std,PROJ_HIST_DK_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,FD_VALUE,ADJ%,ADJ,Status
200768.0,PG,Kyle,Lowry,39.1,39,9000,TOR@ORL,TOR,ORL,,,"Lowry, Kyle",7.25665961091,0.746617137828,7.38433032719,5.35841936202,0.835117950736,5.30643169884,1.88934410753,3.34930466756,6.14154964957,7.01626191452,2.7833153988,16.0936904967,4.61691746417,38.5,21.432756692,0.285827841358,0.0181611101783,41.610223511,45.4668361193,1.45067339675,1.56304587348,41.2390881082,44.7798331465,32.0,34.806236256,37.8240877823,40.0,43.180374416,47.2588997438,8.90260011451,8.91880736597,0.0,0.2,0.25,0.2,0.2,0.15,4.62335816789,0.0089996025572,0.00963988059209,-
200797.0,PF,Ryan,Hollins,4.0,5,3500,DET@MEM,MEM,DET,,,"Hollins, Ryan",0.0689026256321,0.306885359257,0.0399826344029,1.02485881001,0.852323715699,1.22373180325,0.0848510389794,0.494933744217,2.07605551895,1.18614021968,0.0133017598428,1.86457509726,0.38697858603,6.71428571429,2.77256078524,1.07334895943e-06,1.65852283764e-18,5.65572039869,6.01364253669,1.77148185223,1.52036594818,4.44657574965,4.71219188664,1.0,1.99180231002,2.16463208612,14.0,10.3591622704,10.9536820666,5.39987139765,5.40559766456,0.8,0.8,0.7,0.0,0.1,0.05,1.61592011391,0.271927145093,0.180085373262,-
201144.0,PG,Mike,Conley,28.9,36,6500,DET@MEM,MEM,DET,GTD,Achilles,"Conley, Mike",0.61614226,0.04068594,0.20447132,0.06921918,0.03960646,0.18608167,0.0,0.0,0.22568813,0.29100527,0.25639844,0.3249945,0.203274,0.0,1.04168298,0.0,0.0,2.318094006,2.4575776325,1.82859972904,1.89358521115,0.0,0.0,25.0,21.8435061865,23.0498017786,38.0,31.9463747911,33.9605400592,8.33903566805,8.75947332982,0.2,0.2,0.25,0.4,0.3,0.25,0.356629847077,inf,inf,GTD - Achilles
201145.0,SF,Jeff,Green,19.5,40,4400,DET@MEM,MEM,DET,,,"Green, Jeff",2.29035445933,0.273388206768,2.35193436831,2.87666571671,0.846458366725,3.76363123165,0.732803867859,1.53616293754,4.61008959837,3.89854665074,0.759118623789,10.0436325971,2.3359162109,31.0,10.8921281362,0.0134218487456,1.85536303359e-06,20.3359885549,21.7342721547,2.36703480733,2.36776903174,21.0271523256,22.3110421347,20.0,13.5359452372,14.39313378,38.0,24.663288848,26.4494466458,9.45496613507,9.67666163761,0.4,0.2,0.35,0.4,0.5,0.35,4.62181558066,-0.0328700605769,-0.0222956055065,-
201148.0,C,Brandan,Wright,14.1,7,3700,DET@MEM,MEM,DET,O,Knee,"Wright, Brandan",0.14784183,0.0,0.05883621,0.18964258,0.0,1.09599032,0.15991516,0.11450261,1.09599032,0.36300955,0.00375841,1.09670807,0.33395672,0.0,1.06373423,0.0,0.0,2.806013069,2.919943095,2.35884492302,2.13569829726,0.0,0.0,6.0,6.89256981419,7.12418984969,28.0,26.1170292705,26.9656660024,8.32594910935,8.46895591473,0.6,0.4,0.3,0.4,0.4,0.45,0.758381910541,inf,inf,O - Knee
201149.0,C,Joakim,Noah,22.1,27,5100,CHI@PHI,CHI,PHI,GTD,Shoulder,"Noah, Joakim",4.31920722475,1.74350682443,0.0669084073064,2.54829011222,4.0894249153,7.11788154391,0.891623858852,2.08380462954,11.2073064592,2.61391117433,0.0,6.13848278321,1.39214847205,28.0,6.61997082072,0.194980495526,0.00245504551707,29.7340061459,31.6361096635,1.26777822149,1.21358342608,27.6473360627,29.41140122,17.0,18.9079652755,19.9007154226,29.0,30.7181916796,32.7237892116,9.41677444912,9.24124672464,0.4,0.3,0.3,0.4,0.4,0.35,5.83019728352,0.0754745440378,0.0745239315427,GTD - Shoulder
201156.0,SG,Nick,Young,11.3,34,3500,LAL@GSW,LAL,GSW,,,"Young, Nick",0.644721259685,0.185329690713,3.81511355042,1.36635810065,0.276611682583,1.37725006682,0.530248831082,0.294136287325,1.6538617494,2.68614018465,1.4037729207,7.34936256122,1.1393453764,17.7857142857,7.9153986664,3.87659235646e-06,8.54614123402e-15,12.0041354115,12.9357889178,2.37119490338,2.64400463782,11.1286037552,12.2446456973,14.0,9.51741509368,10.1864520812,26.0,17.3998493086,18.9015115528,6.95411303166,7.58021938573,0.8,0.7,0.65,0.2,0.1,0.2,3.42975297471,0.0786739896119,0.049226679467,-
201158.0,SG,Marco,Belinelli,16.6,37,4300,SAC@UTA,SAC,UTA,,,"Belinelli, Marco",2.18793755684,0.0903685370925,4.76858062322,2.49393104739,0.310677569439,2.03867572419,0.708876480952,1.50332983576,2.34935329363,4.30875774484,1.5228136701,10.3767582836,2.09348642351,30.0,12.2338155833,0.00020035627486,1.2344631792e-08,18.4301060712,20.0609460603,2.2223623134,2.41289112605,18.8190457385,20.5776531285,19.0,12.1752975573,13.2624019121,34.0,20.7045818945,22.5335170671,8.06664805299,8.64097645176,0.2,0.4,0.6,0.4,0.4,0.2,4.28607117936,-0.0206673426832,-0.0129646555749,-
201160.0,PF,Jason,Smith,10.8,33,3500,TOR@ORL,ORL,TOR,,,"Smith, Jason",0.849584680082,0.496355278118,0.28284917233,0.895449063677,0.338110905687,1.94841411024,0.197535191599,0.75943305153,2.28652501592,2.25812845447,0.0330500799755,5.00428196733,0.788471033464,12.4285714286,5.33777802237,2.12321078681e-05,5.34158925362e-13,9.98433294951,10.4949326142,2.3070140442,2.15638349203,9.32878710245,9.81386132191,8.0,6.93017748034,7.28978490565,20.0,15.2059535903,15.9769767579,5.25309612889,5.41955415462,0.6,0.7,0.7,0.0,0.1,0.15,2.852666557,0.0702712839145,0.0527450681538,-
201166.0,PG,Aaron,Brooks,14.4,27,3700,CHI@PHI,CHI,PHI,,,"Brooks, Aaron",2.99099331521,0.187507250943,3.24074425038,1.78701856453,0.568947780078,1.85061491724,0.862058326323,1.39208555101,2.41956269732,3.494810615,1.25547425148,8.4620724545,1.4765780737,18.7857142857,9.72167355516,0.000736834587068,1.31990135519e-07,17.8186843683,19.2645480522,3.35434494142,3.57364821537,16.0540947209,17.5164529422,7.0,7.7181607985,8.27647689833,25.0,23.1444149778,25.0666958118,7.13427983177,7.80942888355,0.4,0.4,0.45,0.0,0.2,0.2,4.81586064008,0.10991523833,0.0939325287596,-
