PERSON_ID,alpha_AST,alpha_BLK,alpha_STL,alpha_TOV,alpha_OREB,alpha_DREB,alpha_FG2%,alpha_FG3%,alpha_FT%,alpha_FG2A,alpha_FG3A,alpha_FTA,beta_AST,beta_BLK,beta_STL,beta_TOV,beta_OREB,beta_DREB,beta_FG2%,beta_FG3%,beta_FT%,beta_FG2A,beta_FG3A,beta_FTA
201587,22.896736,2.718264,5.172091,9.017919,4.296128,23.949711,9.612562,6.795770,5.847502,19.745192,20.839668,6.863557,159.961102,159.961102,159.961104,159.961103,159.961102,159.961102,10.132632,14.043898,1.016055,159.961102,159.961102,159.961102,
201573,21.981605,1.126242,5.643951,12.302256,2.101683,17.518320,17.401219,3.863487,11.342476,37.918498,12.238202,12.936927,164.342725,164.342734,164.342788,164.342761,164.342729,164.342733,20.517301,8.374718,1.594454,164.342726,164.342722,164.342730,
203382,6.345565,3.421004,2.507347,10.855345,17.404251,32.498277,29.420110,0.232112,13.411662,51.381685,0.642507,15.351714,176.851593,177.814225,183.773315,180.752605,177.294712,177.674097,24.356297,0.700620,2.279833,176.915266,176.515215,177.431723,
203145,10.803126,4.037907,6.946077,10.017945,2.639175,25.036521,13.171647,6.378264,8.417491,27.525670,17.738735,13.882531,170.093304,170.343290,171.890810,171.106360,170.208378,170.306900,14.975910,11.435840,5.553277,170.109839,170.005950,170.243958,
203078,14.874059,1.367088,5.725442,9.323559,4.298174,14.074209,19.807033,8.155411,9.923486,45.672894,19.954842,12.663216,161.311187,161.319756,161.372796,161.345909,161.315131,161.318508,25.887176,11.802014,2.742754,161.311754,161.308193,161.316351,
201158,11.715650,0.385194,3.788575,7.423457,2.968220,15.942832,14.042836,10.378985,10.081089,29.483721,27.409457,11.884417,167.546559,167.546560,167.546568,167.546564,167.546560,167.546560,15.440888,17.030473,1.803328,167.546559,167.546558,167.546560,
203461,8.762337,3.018764,5.546345,8.057547,10.617629,31.685200,23.463394,1.753482,8.857602,52.613602,5.912492,13.456126,176.108862,176.998908,182.508662,179.715724,176.518569,176.869347,31.364361,4.427352,4.912683,176.167734,175.797848,176.645248,
201976,17.968016,2.201120,5.759414,7.771708,6.421754,15.781343,8.634250,10.721786,4.588946,19.970340,30.072845,6.034537,164.170942,164.208047,164.437748,164.321311,164.188022,164.202646,11.428397,19.362247,1.458688,164.173396,164.157975,164.193303,
202687,2.114947,13.610196,2.331472,7.071365,21.248668,34.895845,13.906375,0.000291,13.211923,25.371328,0.000202,22.856994,170.859231,170.862061,170.879578,170.870698,170.860534,170.861649,11.471993,0.000765,9.646070,170.859418,170.858242,170.860936,
202357,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606,
204028,5.557055,3.140892,3.165433,6.886071,18.039730,29.144208,23.644361,0.304411,9.273363,35.000450,0.337500,15.278410,153.319934,156.282959,174.625323,165.327433,154.683875,155.851640,18.727161,0.926417,7.050906,153.515921,152.284544,155.105599,
201971,10.790909,3.238417,12.941853,20.053193,29.474832,60.947443,46.909019,0.000042,12.335151,94.691200,0.228396,19.166734,295.048758,295.049169,295.051716,295.050425,295.048947,295.049109,47.783204,0.228478,6.831728,295.048785,295.048614,295.049006,
2581,31.540892,0.577475,4.605681,11.303448,1.726692,13.468530,5.009777,8.436203,3.209212,12.152642,23.807706,4.496687,166.415186,166.415186,166.415186,166.415186,166.415186,166.415186,7.142865,15.371503,1.287475,166.415186,166.415186,166.415186,
202339,27.898013,2.524102,7.264441,15.582052,4.059508,19.894381,21.717353,5.018388,20.021044,44.132011,15.421245,25.062198,158.999526,158.999869,159.001997,159.000919,158.999684,158.999819,22.415512,10.402961,5.041275,158.999548,158.999406,158.999733,
202711,5.679246,0.810003,3.250373,6.858219,4.179675,13.673130,16.274252,7.550523,7.748744,26.414621,20.826138,8.867295,152.137565,154.045332,165.855205,159.868687,153.015749,153.767624,14.886292,13.850791,1.791936,152.263753,151.470922,153.287280,
101106,18.083895,11.786247,4.113293,10.897623,14.949391,42.363120,21.019456,0.001536,2.303734,37.049425,0.002338,4.576256,165.749871,165.749871,165.749871,165.749871,165.749871,165.749871,16.029969,0.000802,2.272522,165.749871,165.749871,165.749871,
2588,8.843300,2.424063,2.227292,2.415752,5.360386,18.428951,9.126830,9.191273,5.188709,19.628776,24.416134,6.439734,180.154740,180.154740,180.154740,180.154740,180.154740,180.154740,10.501946,15.224860,1.251025,180.154740,180.154740,180.154740,
1626164,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606,
202344,8.635720,4.389169,4.569918,9.049637,14.909686,27.174361,21.185937,2.785142,8.770061,40.620700,8.093427,15.050938,166.060691,166.061313,166.065161,166.063210,166.060977,166.061222,19.436309,5.308473,6.281097,166.060732,166.060474,166.061066,
2547,9.695117,2.890628,4.431451,9.914351,5.039908,27.995348,29.535935,6.499795,18.609496,60.099548,17.457381,24.018157,165.364399,165.364399,165.364399,165.364399,165.364399,165.364399,30.563612,10.957586,5.408661,165.364399,165.364399,165.364399,
202340,8.832198,0.993130,5.421810,7.262646,3.102122,12.994874,20.669897,8.084233,5.358265,44.202327,22.833523,6.773932,160.112958,160.114220,160.122033,160.118072,160.113539,160.114036,23.535569,14.749670,1.416112,160.113041,160.112517,160.113718,
201147,13.027035,1.496514,8.852162,9.878040,6.025839,16.243137,21.566921,4.798699,12.791331,43.599010,17.852571,17.244424,161.447098,161.447099,161.447100,161.447099,161.447099,161.447099,22.032089,13.053872,4.453094,161.447098,161.447098,161.447099,
201166,22.734524,1.306077,4.738138,13.490245,2.895878,11.499509,18.936341,10.439154,12.246231,42.946164,27.013904,14.663617,163.288174,163.288177,163.288196,163.288186,163.288175,163.288177,24.009831,16.574751,2.417387,163.288174,163.288173,163.288176,
1626148,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606,
203900,7.916472,2.497911,7.138992,6.494700,3.398309,18.641086,17.333775,3.726050,10.718246,29.316544,12.600144,11.646675,155.073300,159.601197,187.630768,173.422356,157.157583,158.942085,23.246748,10.239219,2.526641,155.372795,153.491088,157.802034,
977,31.065546,1.113607,7.165203,21.084362,3.815287,26.063415,32.678125,7.757062,29.169494,78.422679,26.812329,35.638483,185.309108,185.309108,185.309108,185.309108,185.309108,185.309108,45.744554,19.055267,6.468989,185.309108,185.309108,185.309108,
201978,8.416915,1.266641,5.690590,6.473315,4.423246,21.720219,15.453130,7.288718,8.821153,32.875405,20.197100,10.697736,172.116411,172.116573,172.117573,172.117066,172.116485,172.116549,17.422677,12.908431,1.876640,172.116422,172.116355,172.116508,
203493,5.955375,2.115984,7.002500,6.897073,2.586860,30.034075,12.819278,10.773093,5.338553,19.892372,33.001250,6.137405,221.025377,225.003523,249.629909,237.146598,222.856599,224.424437,16.969467,23.427536,2.203018,221.288509,219.635268,223.422805,
203504,23.255286,1.014808,4.474900,8.736342,2.202586,12.122669,17.279003,8.630024,7.634688,42.825129,27.059918,10.022304,159.957605,160.060318,160.696155,160.373844,160.004886,160.045366,25.801643,18.460862,2.423872,159.964399,159.921713,160.019505,
202692,16.273292,1.016325,3.689282,10.514961,3.918229,18.314718,19.878085,4.968609,21.061462,47.141446,13.143504,26.041908,177.003433,177.009128,177.044385,177.026513,177.006055,177.008299,27.277528,8.176612,4.982457,177.003810,177.001443,177.006865,
2406,8.155493,0.544380,4.469510,5.168262,2.177534,18.331456,8.471486,8.720466,5.754323,19.508441,22.910604,6.438301,165.431628,165.431628,165.431628,165.431628,165.431628,165.431628,11.036955,14.190138,0.683978,165.431628,165.431628,165.431628,
202710,13.277478,2.279458,7.258053,5.915798,7.134884,16.694133,21.524167,4.598646,23.969556,44.552002,12.365749,28.843075,159.502936,159.505323,159.520103,159.512611,159.504035,159.504976,23.033774,7.767823,4.874361,159.503094,159.502102,159.504375,
2446,7.261520,2.652967,3.274028,5.470128,3.028452,19.250993,13.979836,10.476586,5.736592,30.963374,27.200539,7.454815,173.146830,173.146830,173.146830,173.146830,173.146830,173.146830,16.983538,16.723954,1.718223,173.146830,173.146830,173.146830,
203998,2.271207,2.022443,6.217947,10.859034,2.716516,7.182193,33.366745,4.425142,8.877789,15.836916,4.688749,3.717997,50.448806,74.054241,220.181737,146.108549,61.314868,70.618068,41.193048,7.380459,3.172221,52.010169,42.200204,64.674606,
101181,26.388985,0.083065,4.190528,9.671920,2.464806,13.665116,11.576209,8.411951,3.839690,27.567373,19.982130,4.277600,168.888309,168.888309,168.888309,168.888309,168.888309,168.888309,15.991164,11.570179,0.437910,168.888309,168.888309,168.888309,
203484,6.624678,1.113551,5.829843,5.633262,2.881076,12.781236,14.567920,9.194758,6.674922,32.114406,26.729132,9.502297,158.829088,158.958663,159.760786,159.354183,158.888734,158.939801,17.868827,17.573439,2.873112,158.837659,158.783810,158.907177,
203477,17.981953,0.957817,5.990895,12.566539,3.708167,13.240766,13.018461,16.496453,10.679808,24.805524,44.735070,12.709221,176.504798,178.751736,192.661222,185.610393,177.539109,178.424656,17.376737,28.916050,2.822516,176.653420,175.719636,177.858914,
203991,4.271207,10.022443,7.217947,11.859034,11.716516,32.182193,45.366745,2.425142,12.877789,35.836916,1.688749,26.717997,114.448806,138.054241,284.181737,210.108549,125.314868,134.618068,49.193048,6.380459,22.172221,116.010169,106.200204,128.674606,
201960,8.725208,1.273431,6.960818,5.515409,7.321916,20.096887,14.572978,8.670154,9.239811,25.765744,22.074032,13.098907,161.088158,161.089306,161.096412,161.092810,161.088687,161.089139,11.195621,13.404225,3.859501,161.088234,161.087757,161.088850,
1713,13.219379,2.323046,6.602757,7.119193,4.453767,17.044521,11.154946,11.128346,8.004727,28.860172,36.053680,10.050586,172.293194,172.293194,172.293194,172.293194,172.293194,172.293194,17.705226,24.925334,2.045859,172.293194,172.293194,172.293194,
203487,32.758073,2.283789,8.334470,18.751231,4.910226,21.645597,24.631663,2.760473,15.249507,57.137528,11.583080,21.908788,160.579729,160.682020,161.315247,160.994259,160.626816,160.667130,32.760334,8.853447,6.695387,160.586495,160.543985,160.641375,
201956,12.019531,1.179238,3.935341,10.316435,6.499262,24.766231,19.996926,4.577154,15.961325,39.308639,11.745642,21.927865,168.353525,168.353591,168.353999,168.353792,168.353555,168.353581,19.311878,7.168508,5.966564,168.353529,168.353502,168.353564,
1626161,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606,
201596,21.102773,0.707514,8.289735,11.710529,1.705980,12.339661,13.057800,5.046830,13.611980,27.832823,16.803138,17.605070,160.210863,160.210864,160.210865,160.210865,160.210864,160.210864,14.775023,11.756308,3.993090,160.210863,160.210863,160.210864,
2199,5.887771,6.377169,2.987705,7.348436,20.348443,39.779940,20.467242,0.000000,12.798854,30.944568,0.005971,17.895740,160.795630,160.795630,160.795630,160.795630,160.795630,160.795630,10.477327,0.005971,5.096886,160.795630,160.795630,160.795630,
201163,8.712589,1.918145,3.767609,7.093352,6.129126,24.233416,17.916137,9.042784,7.255293,36.592990,26.371851,9.410841,159.974780,159.974781,159.974784,159.974782,159.974781,159.974781,18.676855,17.329067,2.155548,159.974780,159.974780,159.974781,
1626176,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606,
203546,21.007009,4.379339,16.606915,21.079630,6.301533,24.314516,38.258853,16.854217,16.377821,48.381544,45.453091,14.249728,285.000543,300.898600,399.314209,349.426555,292.318742,298.584367,49.672042,33.392012,3.483446,286.052107,279.445180,294.581497,
203903,21.194492,1.325215,5.822722,10.467337,5.873458,14.367252,26.495937,4.113820,14.234510,49.033607,12.485287,16.457055,152.691534,155.093715,169.964220,162.426243,153.797307,154.744037,28.513539,9.095705,3.070443,152.850424,151.852124,154.139207,
202708,22.520821,1.264300,5.178924,8.958371,1.181377,12.910769,15.338295,4.896604,5.113039,33.517962,15.551264,7.107017,163.299889,163.301505,163.311505,163.306436,163.300633,163.301270,18.183685,10.655147,1.994548,163.299996,163.299325,163.300863,
201954,26.459929,1.452851,7.127100,11.754499,2.166419,12.977570,21.103218,6.278304,15.371829,41.145382,16.839518,19.355194,165.519952,165.519955,165.519979,165.519967,165.519953,165.519955,20.042173,10.561216,3.983366,165.519952,165.519950,165.519954,
2555,13.977086,3.865137,5.284751,7.289673,14.167197,24.725375,14.453439,2.233990,7.199007,30.039923,8.413358,10.350822,172.874010,172.874010,172.874010,172.874010,172.874010,172.874010,15.586484,6.179369,3.151815,172.874010,172.874010,172.874010,
201144,27.220325,1.003148,6.496125,11.181579,2.134598,12.889108,20.834169,7.672414,15.412052,43.995981,19.945759,17.993639,160.768682,160.768682,160.768682,160.768682,160.768682,160.768682,23.161812,12.273345,2.581587,160.768682,160.768682,160.768682,
1626192,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606,
203142,11.606010,2.942389,2.695920,13.136248,5.520316,20.128887,15.873645,13.897739,8.283304,34.196777,40.876956,11.131584,193.026231,193.446470,196.047921,194.729225,193.219676,193.385297,19.368553,27.105915,2.996611,193.054028,192.879384,193.279488,
203955,16.191756,0.958540,9.579325,17.680345,4.421734,19.858306,50.031324,8.836070,22.385427,52.347109,20.333202,20.360622,174.795756,196.925851,333.920379,264.476765,184.982688,193.704439,57.368483,18.169180,5.786457,176.259533,167.062691,188.132443,
202326,16.722314,8.137612,7.273920,20.225274,14.924328,45.040675,40.001019,0.150365,33.729587,84.950707,0.637596,43.354273,161.959148,161.959186,161.959419,161.959301,161.959166,161.959180,44.949781,0.487242,9.624699,161.959151,161.959135,161.959171,
203496,8.226320,2.455709,8.068861,10.418638,5.269671,19.952622,12.681499,13.299474,14.331119,24.527371,35.175518,16.926227,154.635645,156.445877,167.651974,161.971514,155.468932,156.182367,16.349160,22.421814,3.234066,154.755381,154.003083,155.726580,
203459,10.366493,3.732992,5.968848,5.451543,2.130815,17.583814,15.431304,8.426566,5.236357,20.578271,22.080866,5.201315,177.291405,182.468035,214.513539,198.269419,179.674313,181.714489,18.024791,15.215013,1.792154,177.633809,175.482501,180.411098,
2037,15.387353,1.312667,5.595166,9.006442,1.806914,10.150676,20.500543,11.544237,21.816757,45.607714,34.994176,24.300101,164.203860,164.203860,164.203860,164.203860,164.203860,164.203860,25.107170,23.449939,2.483344,164.203860,164.203860,164.203860,
203109,9.295582,2.517705,7.255809,4.957694,7.075903,21.847550,16.242987,6.155600,10.456506,32.369862,20.743115,13.547840,165.267759,165.296182,165.472131,165.382941,165.280843,165.292045,16.197582,14.596085,3.101367,165.269639,165.257827,165.284888,
201967,5.282799,3.874195,4.755113,3.569774,7.394448,18.907155,16.177453,0.090921,2.999111,34.553092,0.954796,4.901876,164.994336,164.994374,164.994611,164.994491,164.994354,164.994369,18.375734,0.863886,1.902778,164.994339,164.994323,164.994359,
203099,21.271207,1.022443,13.217947,17.859034,4.716516,21.182193,48.366745,9.425142,30.877789,51.836916,24.688749,34.717997,222.448806,246.054241,392.181737,318.108549,233.314868,242.618068,62.193048,22.380459,12.172221,224.010169,214.200204,236.674606,
203552,3.271207,1.022443,8.217947,6.859034,1.716516,9.182193,31.366745,3.425142,8.877789,10.836916,3.688749,3.717997,47.448806,71.054241,217.181737,143.108549,58.314868,67.618068,38.193048,7.380459,3.172221,49.010169,39.200204,61.674606,
201939,37.638197,0.963003,9.765351,15.223365,3.363566,17.274336,22.309357,17.251815,18.655146,42.349520,39.042238,20.445773,159.092909,159.092911,159.092925,159.092918,159.092910,159.092911,20.040169,21.790424,1.790628,159.092909,159.092908,159.092910,
203584,11.059650,0.764147,4.616353,11.281751,3.671228,13.293020,19.785924,21.697157,7.510500,22.608407,54.668293,6.316623,188.708617,197.627547,252.839447,224.852097,192.814182,196.329245,25.009968,35.660123,1.954239,189.298553,185.592016,194.083604,
203076,9.513014,12.963484,6.468193,6.245467,11.403830,33.811321,41.221220,0.069493,24.027200,76.452758,0.769022,29.887709,159.736247,159.743676,159.789663,159.766352,159.739666,159.742594,35.250018,0.701768,5.863130,159.736738,159.733651,159.740724,
202334,8.081301,8.638009,4.257309,5.316753,20.101495,32.678007,25.273421,0.000026,8.222774,42.508005,0.000134,16.738429,164.325856,164.326111,164.327690,164.326889,164.325973,164.326074,17.235218,0.000184,8.515745,164.325873,164.325767,164.326009,
1626183,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606,
201942,16.132778,0.888672,5.528195,10.428451,3.115556,17.926308,29.411844,2.017152,27.666837,68.816542,7.046384,33.283109,161.264133,161.264134,161.264142,161.264138,161.264133,161.264134,39.404701,5.029233,5.616272,161.264133,161.264132,161.264134,
203473,2.085401,10.406628,3.727150,10.708145,23.567780,37.767967,20.803883,0.164569,8.041639,34.575051,0.291484,13.744556,178.327819,179.929669,189.845791,184.819230,179.065183,179.696492,17.756067,0.609861,6.268322,178.433772,177.768073,179.293173,
